KM,Año,Combustible,Ciudad,Nº puertas,Garantía,Cambio,Color,Carrocería,Marca,Modelo,Versión,Potencia,Tipo de carrocería,Velocidad máxima,Aceleracion,Consumo,Emisiones,Dimensiones,Etiqueta medioambiental,Precio
4.619,2021,Eléctrico,Sant Boi de Llobregat,5,Sí,Automático ,Negro,Todoterreno,Opel,Mokka,Mokka-e Edition,136 CV,Todoterreno,150 km/h,9 s,17.4 l/100km,0g CO2/km,4151 mm / 1791 mm / 1534 mm,Cero,26.800€
53.850,2019,Diésel,Sant Boi de Llobregat,5,Sí,Manual ,Gris,Todoterreno,Nissan,Qashqai,Qashqai Visia dCi 85 kW (115 CV),115 CV,Todoterreno,181 km/h,12.3 s,3.8 l/100km,100g CO2/km,4394 mm / 1806 mm / 1590 mm,C,19.500€
47.362,2021,Gasolina,Sant Boi de Llobregat,5,Sí,Manual ,Amarillo,Sedan,Mercedes-Benz,Clase A,A 200,163 CV,Turismo,225 km/h,8.2 s,6 l/100km,136g CO2/km,4419 mm / 1796 mm / 1440 mm,C,30.400€
36.100,2021,Gasolina,Sant Boi de Llobregat,5,Sí,Manual ,Negro,Todoterreno,Jeep,Compass,Compass Limited 1.3 GSE T4 96 kW (130 CV),130 CV,Todoterreno,192 km/h,10.3 s,6.9 l/100km,g CO2/km,4394 mm / 1819 mm / 1624 mm,C,29.700€
31.690,2022,Gasolina,Sant Boi de Llobregat,5,Sí,Automático ,Blanco,Todoterreno,False,False,False,230 CV,False,False,False,False,False,False,False,35.900€
22.819,2022,Diésel,Sant Boi de Llobregat,5,Sí,Manual ,Blanco,Monovolumen,Fiat,Doblo,Dobló Panorama Easy 1.6 MultiJet 95,95 CV,Vehículo comercial,162 km/h,14 s,5.2 l/100km,137g CO2/km,4406 mm / 1832 mm / 1845 mm,C,18.100€
51.379,2019,Gasolina,Sant Boi de Llobregat,2,Sí,Manual ,Negro,Cabriolet,Fiat,500,500C Lounge 1.2 69 CV,69 CV,Descapotable,160 km/h,13.4 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.800€
54.523,2019,Gasolina,Sant Boi de Llobregat,2,Sí,Manual ,Negro,Cabriolet,Fiat,500,500C Lounge 1.2 69 CV,69 CV,Descapotable,160 km/h,13.4 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.800€
56.245,2019,Gasolina,Sant Boi de Llobregat,2,Sí,Manual ,Blanco,Cabriolet,Fiat,500,500C Lounge 1.2 69 CV,69 CV,Descapotable,160 km/h,13.4 s,5.1 l/100km,119g CO2/km,3546 mm / 1627 mm / 1488 mm,C,13.750€
200.000,2013,Diésel,Sada,5,Sí,Manual ,Blanco,Berlina,SEAT,Ibiza,Ibiza 5p 1.6 TDI CR 90 CV Reference,89 CV,Turismo,178 km/h,11.8 s,4.2 l/100km,109g CO2/km,4061 mm / 1693 mm / 1445 mm,B,6.500€
10,2023,Gasolina,Castelló,5,Sí,Manual ,Negro,Todoterreno,Fiat,500X,500X 1.0 Firefly T3 88 kW (120 CV),120 CV,Todoterreno,192 km/h,10.7 s,6.2 l/100km,g CO2/km,4264 mm / 1796 mm / 1595 mm,C,20.400€
52.182,2021,Híbrido (Gasolina),Castelló,3,Sí,Manual ,Blanco,Berlina,False,False,False,70 CV,False,False,False,False,False,False,False,13.400€
90.838,2017,Diésel,Leganés,3,No,Manual ,Blanco,Furgoneta,Fiat,Fiorino,Fiorino Combi Base 1.3 Multijet 75cv,80 CV,Vehículo comercial,157 km/h, s,4.6 l/100km,115g CO2/km,3959 mm / 1716 mm / 1721 mm,B,7.500€
10,2023,Gasolina,Leganés,5,No,Manual ,Azul,Sedan,Citroen,C3,C3 PureTech 83 Shine,83 CV,Turismo,169 km/h,13.3 s,5.7 l/100km,99g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.900€
15,2024,Híbrido (Gasolina),Jaén,5,Sí,Automático ,Rojo,Berlina,False,False,False,100 CV,False,False,False,False,False,False,False,23.850€
20,2024,Gasolina,Jaén,5,Sí,Manual ,Blanco,Todoterreno,Fiat,500X,500X 1.0 Firefly T3 88 kW (120 CV),119 CV,Todoterreno,192 km/h,10.7 s,6.2 l/100km,g CO2/km,4264 mm / 1796 mm / 1595 mm,C,19.900€
10,2022,Gasolina,Albacete,5,Sí,Manual ,Negro,Todoterreno,Jeep,Compass,Compass Night Eagle 1.3 GSE T4 96 kW (130 CV),130 CV,Todoterreno,192 km/h,10.3 s,6.9 l/100km,g CO2/km,4394 mm / 1819 mm / 1624 mm,C,30.990€
98.000,2015,Gasolina,Viladecans,False,No,Manual ,Blanco,Todoterreno,Renault,Kadjar,KADJAR Life Energy TCe 97 kW (130 CV),,Todoterreno,192 km/h,10.1 s,5.6 l/100km,126g CO2/km,4449 mm / 1836 mm / 1607 mm,C,15.500€
88.000,2012,Gasolina,Viladecans,False,No,Manual ,Rojo,Berlina,SEAT,Ibiza,Ibiza ST 1.4 85 CV Reference,,Turismo familiar,177 km/h,12.4 s,5.9 l/100km,139g CO2/km,4236 mm / 1693 mm / 1445 mm,C,9.500€
24.000,2023,Diésel,Viladecans,False,No,Automático ,Blanco,Todoterreno,Audi,Q2,Q2 design edition 1.6 TDI 85kW (116 CV) S tronic 7 vel.,116 CV,Todoterreno,197 km/h,10.5 s,4.3 l/100km,113g CO2/km,4191 mm / 1794 mm / 1538 mm,C,35.900€
58.228,2019,Gasolina,Málaga,5,Sí,Manual ,Negro,Berlina,BMW,1 Series,118i 5p,140 CV,Turismo,210 km/h,8.5 s,5 l/100km,116g CO2/km,4329 mm / 1765 mm / 1421 mm,C,25.890€
51.878,2018,Diésel,Lugo,5,Sí,Manual ,Negro,Berlina,BMW,1 Series,116d 5p,115 CV,Turismo,200 km/h,10.3 s,3.7 l/100km,97g CO2/km,4329 mm / 1765 mm / 1421 mm,C,18.900€
10.978,2022,Híbrido (Gasolina),Blanes,5,Sí,Automático ,Blanco,Berlina,DS,4,4 Bastille + E-TENSE 225,225 CV,Turismo,233 km/h,7.7 s,1.3 l/100km,g CO2/km,4400 mm / 1830 mm / 1470 mm,Cero,39.900€
91.357,2018,Diésel,Blanes,5,Sí,Manual ,Blanco,Berlina,Citroen,C3,C3 BlueHDi 100 S&S Feel,99 CV,Turismo,185 km/h,10.6 s,3.7 l/100km,95g CO2/km,3996 mm / 1749 mm / 1474 mm,C,10.500€
21.959,2023,Gasolina,Blanes,5,Sí,Manual ,Gris,Berlina,Citroen,C3,C3 PureTech 83 S&S C-Series,83 CV,Turismo,169 km/h,13.3 s,5.8 l/100km,g CO2/km,3996 mm / 1749 mm / 1474 mm,C,14.950€
19.700,2019,Gasolina,Blanes,5,Sí,Manual ,Azul,Utilitario,Citroen,C1,C1 5p Airscape VTi 72 Shine,72 CV,Descapotable,160 km/h,13.8 s,4.1 l/100km,93g CO2/km,3466 mm / 1615 mm / 1460 mm,C,12.900€
6.120,2024,Diésel,Granada,5,Sí,Automático ,Blanco,Todoterreno,BMW,X1,X1 sDrive18d Aut.,150 CV,Todoterreno,202 km/h,9.6 s,5 l/100km,132g CO2/km,4477 mm / 1798 mm / 1545 mm,B,45.900€
64.890,2019,Diésel,Sevilla,5,Sí,Automático ,Negro,Todoterreno,BMW,X3,X3 xDrive20d,190 CV,Todoterreno,213 km/h,8 s,5 l/100km,132g CO2/km,4708 mm / 1891 mm / 1676 mm,C,29.500€
5.000,2024,Diésel,Granada,5,Sí,Automático ,Blanco,Utilitario,BMW,1 Series,118d Aut.,150 CV,Turismo,216 km/h,8.4 s,4.2 l/100km,109g CO2/km,4319 mm / 1799 mm / 1434 mm,C,39.800€
6.000,2024,Diésel,Granada,5,Sí,Automático ,Blanco,Utilitario,BMW,1 Series,118d Aut.,150 CV,Turismo,216 km/h,8.4 s,4.2 l/100km,109g CO2/km,4319 mm / 1799 mm / 1434 mm,C,39.800€
85.174,2021,Diésel,Leganés,5,Sí,Manual ,Negro,Berlina,BMW,1 Series,118d 5p,150 CV,Turismo,210 km/h,9 s,4.5 l/100km,119g CO2/km,4239 mm / 1748 mm / 1421 mm,B,27.500€
19.200,2019,Diésel,Madrid,4,Sí,Automático ,Gris,Sedan,Volvo,S90,S90 D5 AWD R-Design Aut.,235 CV,Turismo,240 km/h,7 s,5.4 l/100km,142g CO2/km,4963 mm / 1879 mm / 1443 mm,C,42.970€
29.000,2022,Eléctrico,Madrid,4,Sí,Automático ,Negro,Sedan,Tesla,Model 3,Model 3 Tracción integral Gran autonomía,497 CV,Turismo,233 km/h,4.4 s,14.7 l/100km,0g CO2/km,4694 mm / 1849 mm / 1443 mm,Cero,39.970€
111.000,2014,Gasolina,Madrid,5,Sí,Automático ,Blanco,Berlina,Renault,Captur,Captur Intens TCe 120 EDC,119 CV,Todoterreno,192 km/h,10.9 s,5.4 l/100km,125g CO2/km,4122 mm / 1778 mm / 1566 mm,C,13.970€
92.324,2019,Gasolina,Talavera de la Reina,5,Sí,Automático ,Blanco,Todoterreno,Subaru,XV,XV 1.6i CVT Sport,114 CV,Todoterreno,175 km/h,13.9 s,6.4 l/100km,145g CO2/km,4465 mm / 1800 mm / 1595 mm,C,17.490€
65.133,2021,Gasolina,Talavera de la Reina,5,Sí,Manual ,Gris,Todoterreno,Peugeot,3008,3008 Crossway 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.2 l/100km,120g CO2/km,4365 mm / 1837 mm / 1639 mm,C,21.490€
58.949,2019,Híbrido (Gasolina),Olías del Rey,5,Sí,Automático ,Otros,Berlina,False,False,False,245 CV,False,False,False,False,False,False,False,47.990€
112.063,2018,Diésel,Olías del Rey,5,Sí,Automático ,Otros,Todoterreno,Volvo,XC40,XC40 Momentum D4 AWD,190 CV,Todoterreno,210 km/h,7.9 s,5 l/100km,131g CO2/km,4425 mm / 1863 mm / 1652 mm,C,25.990€
111.300,2020,Híbrido (Diésel),Murcia,5,Sí,Automático ,Negro,Berlina,False,False,False,349 CV,False,False,False,False,False,False,False,72.900€
1,2023,Gasolina,Barakaldo,5,Sí,Automático ,Rojo,Berlina,Peugeot,408,408 Allure Pack PureTech 130 EAT8,130 CV,Turismo,210 km/h,10.4 s,6 l/100km,g CO2/km,4687 mm / 1848 mm / 1478 mm,C,29.900€
10,2023,Diésel,Boadilla del Monte,4,Sí,Manual ,Blanco,Furgoneta,Citroen,Jumpy,Jumpy Combi Talla M BlueHDi 120 S&S 6v Confort 5 plazas,120 CV,Vehículo comercial,160 km/h, s,4.8 l/100km,159g CO2/km,4959 mm / 1920 mm / 1890 mm,C,27.900€
6.200,2023,Gasolina,Boadilla del Monte,5,Sí,Manual ,Rojo,Berlina,Opel,Corsa,Corsa 1.2T 74 kW (100 CV) GS,100 CV,Turismo,188 km/h,9.9 s,5.1 l/100km,g CO2/km,4060 mm / 1765 mm / 1435 mm,C,17.900€
66.188,2019,Gasolina,València,5,Sí,Manual ,Gris,Familiar,Renault,Megane,Mégane Sport Tourer Life Tce GPF 74 kW (100 CV),115 CV,Turismo familiar,182 km/h,12.2 s,5.5 l/100km,127g CO2/km,4626 mm / 1814 mm / 1457 mm,C,13.995€
50.914,2018,Gasolina,Toledo,5,Sí,Manual ,Rojo,Todoterreno,Fiat,500X,500X City Cross 1.6 E-Torq 81 kW (110 CV) 4x2,110 CV,Todoterreno,180 km/h,11.5 s,6.4 l/100km,147g CO2/km,4273 mm / 1796 mm / 1608 mm,C,12.199€
94.260,2016,Gasolina,Toledo,3,Sí,Automático ,Blanco,Berlina,Smart,Fortwo,fortwo coupé passion 52 kW twinamic,70 CV,Turismo,151 km/h,15.1 s,4.1 l/100km,94g CO2/km,2695 mm / 1663 mm / 1555 mm,C,9.099€
42.495,2020,Gasolina,Toledo,5,Sí,Manual ,Azul,Todoterreno,SEAT,Ateca,Ateca 1.0 TSI 85 kW (115 CV) Start&Stop Style Plus Ecomotive,116 CV,Todoterreno,183 km/h,11 s,5.2 l/100km,119g CO2/km,4363 mm / 1841 mm / 1601 mm,C,17.299€
54.616,2019,Gasolina,Toledo,5,Sí,Manual ,Blanco,Todoterreno,Peugeot,3008,3008 Allure 1.2 PureTech 130 S&S,130 CV,Monovolumen,199 km/h,10.8 s,5.3 l/100km,123g CO2/km,4365 mm / 1837 mm / 1639 mm,C,16.499€
29.299,2021,Diésel,Toledo,5,Sí,Manual ,Marrón,Berlina,Opel,Insignia,Insignia Grand Sport Business Elegance 1.5D 90 kW (122 CV),122 CV,Turismo,205 km/h,11.4 s,4.6 l/100km,g CO2/km,4897 mm / 1863 mm / 1455 mm,C,17.699€
96.899,2017,Gasolina,Toledo,5,Sí,Manual ,Azul,Berlina,Opel,Corsa,Corsa 5p Color Edition 1.4 100 CV,90 CV,Turismo,180 km/h,11.9 s,5.7 l/100km,134g CO2/km,3999 mm / 1737 mm / 1488 mm,C,7.999€
87.353,2019,Diésel,Toledo,5,Sí,Manual ,Blanco,Todoterreno,KIA,Sportage,Sportage Emotion 2.0 CRDi 136 CV 4x4,136 CV,Todoterreno,181 km/h,11.3 s,6 l/100km,153g CO2/km,4440 mm / 1855 mm / 1645 mm,B,18.999€
24.977,2017,Gasolina,Toledo,5,Sí,Manual ,Negro,Berlina,KIA,Picanto,Picanto 5p 1.0 CVVT Tech,66 CV,Turismo,158 km/h,14.6 s,4.5 l/100km,105g CO2/km,3595 mm / 1595 mm / 1480 mm,C,8.299€
27.235,2021,Híbrido (Gasolina),Toledo,5,Sí,Manual ,Blanco,Berlina,False,False,False,125 CV,False,False,False,False,False,False,False,16.899€
111.579,2016,Diésel,Toledo,5,Sí,Manual ,Gris,Berlina,False,False,False,120 CV,False,False,False,False,False,False,False,11.299€
19.342,2022,Gasolina,Toledo,5,Sí,Automático ,Negro,Todoterreno,Citroen,C3 Aircross,C3 Aircross PureTech 130 S&S EAT6 Shine,131 CV,Todoterreno,197 km/h,9.2 s,6.3 l/100km,g CO2/km,4154 mm / 1756 mm / 1597 mm,C,17.099€
18.416,2019,Diésel,Córdoba,4,Sí,Manual ,Blanco,Familiar,Peugeot,Expert,Expert Tepee Allure HDi 125 Largo,120 CV,Vehículo comercial,170 km/h,15.3 s,6.6 l/100km,172g CO2/km,5135 mm / 1895 mm / 1942 mm,B,22.990€
81.818,2020,Diésel,Córdoba,4,Sí,Manual ,Blanco,Furgoneta,False,False,False,71 CV,False,False,False,False,False,False,False,21.490€
5,2023,Gasolina,Córdoba,5,Sí,Automático ,Blanco,Berlina,Citroen,C5 X,C5 X PureTech 130 EAT8 You,130 CV,Turismo,213 km/h,11.3 s,6 l/100km,g CO2/km,4805 mm / 1815 mm / 1485 mm,C,32.600€
5,2023,Híbrido (Gasolina),Córdoba,5,Sí,Automático ,Blanco,Todoterreno,Citroen,C5 Aircross,C5 Aircross Plug-in Hybrid 225 Shine Pack,225 CV,Todoterreno,225 km/h,8.9 s,1.3 l/100km,g CO2/km,4500 mm / 1840 mm / 1654 mm,Cero,40.800€
92.058,2018,Gasolina,Toledo,5,Sí,Manual ,Gris,Familiar,Volkswagen,Golf,Golf Variant Ready2Go 1.0 TSI 81 kW (110 CV),116 CV,Turismo familiar,197 km/h,10.4 s,5 l/100km,114g CO2/km,4586 mm / 1799 mm / 1515 mm,C,13.699€
43.642,2017,Gasolina,Toledo,5,Sí,Automático ,Amarillo,Berlina,Smart,Forfour,forfour 1.3 passion softouch plus,90 CV,Turismo,180 km/h,10.8 s,5.6 l/100km,133g CO2/km,3752 mm / 1684 mm / 1450 mm,C,11.399€
61.537,2018,Gasolina,Toledo,5,Sí,Manual ,Blanco,Berlina,SEAT,Toledo,Toledo Xcellence Edition 1.0 TSI 81 kW (110 CV) Start/Stop,110 CV,Turismo,200 km/h,9.8 s,4.6 l/100km,106g CO2/km,4482 mm / 1706 mm / 1461 mm,C,12.299€
83.364,2018,Gasolina,Toledo,5,Sí,Manual ,Negro,Berlina,SEAT,Ibiza,Ibiza 1.0 TSI 70 kW (95 CV) Start&Stop Style,95 CV,Turismo,182 km/h,10.9 s,4.6 l/100km,105g CO2/km,4059 mm / 1780 mm / 1444 mm,C,10.699€
99.099,2019,Diésel,Toledo,5,Sí,Manual ,Azul,Todoterreno,Peugeot,3008,3008 Active 1.5 BlueHDi 130,130 CV,Todoterreno,192 km/h, s,4.2 l/100km,109g CO2/km,4447 mm / 1841 mm / 1624 mm,C,16.499€
10.948,2019,Gasolina,Toledo,5,Sí,Manual ,Rojo,Berlina,Peugeot,208,208 5p Signature 1.2 PureTech 82 S&S,82 CV,Turismo,175 km/h,14.6 s,4.8 l/100km,109g CO2/km,3973 mm / 1739 mm / 1460 mm,C,10.999€
96.973,2016,Diésel,Toledo,5,Sí,Automático ,Gris,Todoterreno,Mercedes-Benz,GLC,GLC 250 d 4MATIC,205 CV,Todoterreno,222 km/h,7.6 s,5 l/100km,129g CO2/km,4656 mm / 1890 mm / 1644 mm,C,30.199€
35.904,2022,Gasolina,Toledo,5,Sí,Manual ,Rojo,Todoterreno,Mazda,Cx-3,CX-3 Evolution Design 2.0 SKYACTIV-G 89 kW (121 CV) 2WD,121 CV,Todoterreno,192 km/h,9 s,6.2 l/100km,141g CO2/km,4275 mm / 1765 mm / 1535 mm,C,19.099€
113.595,2018,Gasolina,Toledo,5,Sí,Manual ,Blanco,Berlina,KIA,Carens,Carens 1.6 GDi 135 CV Concept 7 plazas,135 CV,Monovolumen,185 km/h,11.3 s,6.8 l/100km,159g CO2/km,4525 mm / 1805 mm / 1610 mm,C,11.399€
43.152,2021,Híbrido (Gasolina),Toledo,5,Sí,Manual ,Azul,Todoterreno,False,False,False,130 CV,False,False,False,False,False,False,False,23.199€
100.306,2016,Diésel,Toledo,5,Sí,Manual ,Blanco,Berlina,Ford,Fiesta,Fiesta 5p Trend 1.5 TDCi 95 CV,95 CV,Turismo,181 km/h,11.7 s,3.6 l/100km,95g CO2/km,3969 mm / 1722 mm / 1495 mm,C,8.799€
62.956,2014,Diésel,Toledo,5,Sí,Manual ,Gris,Berlina,Citroen,C4 Cactus,C4 Cactus BlueHDi 100 Shine,100 CV,Turismo,184 km/h,10.7 s,3.4 l/100km,87g CO2/km,4157 mm / 1729 mm / 1480 mm,C,10.199€
76.871,2019,Diésel,Toledo,5,Sí,Manual ,Gris,Monovolumen,Citroen,Berlingo,Berlingo Talla M BlueHDi 100 Feel,100 CV,Vehículo comercial,175 km/h,12.3 s,4.3 l/100km,113g CO2/km,4403 mm / 1848 mm / 1800 mm,C,15.899€
32.166,2021,Gasolina,Madrid,3,Sí,Automático ,Gris,Todoterreno,Land Rover,Defender,Defender 3p 90 P300 AWD Auto SE,300 CV,Todoterreno,191 km/h,7.1 s,11.6 l/100km,g CO2/km,4323 mm / 1996 mm / 1974 mm,C,75.000€
6.759,2022,Híbrido (Diésel),Madrid,3,Sí,Automático ,Verde,Todoterreno,False,False,False,199 CV,False,False,False,False,False,False,False,84.300€
23.467,2023,Híbrido (Diésel),Madrid,5,Sí,Automático ,Negro,Todoterreno,False,False,False,163 CV,False,False,False,False,False,False,False,44.000€
145.335,2016,Diésel,Leganes,5,Sí,Manual ,Negro,Berlina,Renault,Talisman,Talisman Life Energy dCi 110,110 CV,Turismo,190 km/h,11.9 s,3.6 l/100km,95g CO2/km,4848 mm / 1869 mm / 1463 mm,C,11.890€
113.268,2019,Diésel,Leganes,5,Sí,Manual ,Gris,Berlina,Renault,Megane,Mégane Berlina Zen Blue dCi 85 kW (115 CV),115 CV,Turismo,190 km/h,11.1 s,3.8 l/100km,104g CO2/km,4359 mm / 1814 mm / 1447 mm,C,13.890€
132.551,2018,Diésel,Leganes,5,Sí,Automático ,Gris,Familiar,Renault,Megane,Mégane Sport Tourer Zen Energy dCi 81 kW (110 CV) EDC,110 CV,Turismo familiar,187 km/h,12.7 s,3.7 l/100km,95g CO2/km,4626 mm / 1814 mm / 1457 mm,C,12.990€
141.969,2018,Diésel,Leganes,5,Sí,Manual ,Blanco,Familiar,Renault,Megane,Megane 5p 1.5 dCi 105cv Business eco2,110 CV,Turismo,186 km/h,11.1 s,4.6 l/100km,124g CO2/km,4209 mm / 1777 mm / 1457 mm,B,10.990€
134.650,2017,Diésel,Leganes,5,Sí,Manual ,Blanco,Familiar,Renault,Megane,Megane 5p 1.5 dCi 105cv Business eco2,110 CV,Turismo,186 km/h,11.1 s,4.6 l/100km,124g CO2/km,4209 mm / 1777 mm / 1457 mm,B,10.890€
133.409,2018,Diésel,Alcorcon,5,Sí,Manual ,Negro,Monovolumen,Renault,Grand Scenic,Grand Scénic Limited Energy dCi 110 eco2 7 plazas,108 CV,Monovolumen,180 km/h,13.5 s,4.1 l/100km,105g CO2/km,4573 mm / 1845 mm / 1645 mm,B,16.290€
113.775,2018,Diésel,Leganes,5,Sí,Manual ,Azul,Monovolumen,Renault,Grand Scenic,Grand Scénic Limited Energy dCi 110 eco2 7 plazas,110 CV,Monovolumen,180 km/h,13.5 s,4.1 l/100km,105g CO2/km,4573 mm / 1845 mm / 1645 mm,B,16.490€
130.963,2019,Gas Licuado (GLP),Leganes,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio Limited TCe 66 kW (90 CV) GLP,90 CV,Turismo,180 km/h,12.2 s,6.9 l/100km,108g CO2/km,4062 mm / 1731 mm / 1448 mm,ECO,8.590€
110.835,2019,Gas Licuado (GLP),Leganes,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio Limited TCe 66 kW (90 CV) GLP,90 CV,Turismo,180 km/h,12.2 s,6.9 l/100km,108g CO2/km,4062 mm / 1731 mm / 1448 mm,ECO,8.990€
136.981,2019,Gas Licuado (GLP),Leganes,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio Limited TCe 66 kW (90 CV) GLP,90 CV,Turismo,180 km/h,12.2 s,6.9 l/100km,108g CO2/km,4062 mm / 1731 mm / 1448 mm,ECO,8.490€
91.397,2018,Diésel,Leganes,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio 5p Business 1.5 dCi 70cv eco2,75 CV,Turismo,162 km/h,15.2 s,4.6 l/100km,120g CO2/km,3986 mm / 1707 mm / 1496 mm,B,9.290€
102.914,2018,Diésel,Alcorcon,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio Life Energy dCi 55 kW (75 CV),75 CV,Turismo,168 km/h,14.3 s,3.3 l/100km,85g CO2/km,4062 mm / 1731 mm / 1448 mm,C,8.990€
131.434,2018,Diésel,Leganes,5,Sí,Manual ,Blanco,Furgoneta,Peugeot,Partner,Nuevo Partner Tepee Premium 1.6 HDi 75,75 CV,Vehículo comercial,150 km/h,17.1 s,5.7 l/100km,150g CO2/km,4380 mm / 1810 mm / 1801 mm,B,8.590€
100.177,2018,Diésel,Alcorcon,5,Sí,Manual ,Blanco,Furgoneta,Peugeot,Partner,Nuevo Partner Tepee Premium 1.6 HDi 75,75 CV,Vehículo comercial,150 km/h,17.1 s,5.7 l/100km,150g CO2/km,4380 mm / 1810 mm / 1801 mm,B,8.790€
135.762,2017,Diésel,Leganes,5,Sí,Manual ,Blanco,Furgoneta,Peugeot,Expert,Expert Tepee Allure HDi 125 Largo,116 CV,Vehículo comercial,170 km/h,15.3 s,6.6 l/100km,172g CO2/km,5135 mm / 1895 mm / 1942 mm,B,14.790€
126.411,2017,Diésel,Alcorcon,5,Sí,Manual ,Blanco,Furgoneta,Peugeot,Bipper,Bipper Tepee Outdoor 1.3 HDi 75,80 CV,Vehículo comercial,155 km/h,16.6 s,4.2 l/100km,119g CO2/km,3970 mm / 1704 mm / 1803 mm,B,7.890€
86.806,2018,Gasolina,Leganes,5,Sí,Manual ,Negro,Berlina,Opel,Corsa,Corsa 5p Expression 1.4 90 CV,90 CV,Turismo,175 km/h,13.2 s,5.2 l/100km,120g CO2/km,4021 mm / 1746 mm / 1481 mm,C,9.290€
131.572,2019,Diésel,Leganes,5,Sí,Automático ,Blanco,Familiar,Opel,Astra,Astra Sports Tourer Innovation 1.6 CDTI 100 kW (136 CV) Start/Stop Aut.,136 CV,Turismo familiar,207 km/h,10.2 s,4.8 l/100km,126g CO2/km,4702 mm / 1809 mm / 1510 mm,C,11.990€
78.646,2017,Diésel,Leganes,5,Sí,Manual ,Negro,Berlina,BMW,4 Series,418d Gran Coupé,150 CV,Turismo,213 km/h,9.2 s,4.8 l/100km,122g CO2/km,4638 mm / 1825 mm / 1389 mm,C,20.890€
101.261,2018,Gasolina,Leganes,5,Sí,Manual ,Gris,Berlina,Renault,Megane,Mégane Sport Tourer Life Energy TCe 74 kW (100 CV),101 CV,Turismo familiar,179 km/h,12.6 s,5.4 l/100km,120g CO2/km,4626 mm / 1814 mm / 1457 mm,C,11.390€
114.291,2016,Diésel,Leganes,5,Sí,Manual ,Blanco,Berlina,Renault,Clio,Clio 5p Authentique Energy dCi 75 eco2,75 CV,Turismo,168 km/h,14.3 s,3.3 l/100km,85g CO2/km,4062 mm / 1732 mm / 1448 mm,C,8.390€
120.847,2018,Diésel,Leganes,5,Sí,Manual ,Negro,Familiar,Peugeot,308,308 SW Active 1.5 BlueHDi 130 S&S,130 CV,Turismo familiar,203 km/h,10 s,3.6 l/100km,96g CO2/km,4585 mm / 1804 mm / 1470 mm,C,11.490€
77.715,2019,Híbrido (Gasolina),Leganes,5,Sí,Automático ,Negro,Berlina,False,False,False,105 CV,False,False,False,False,False,False,False,17.790€
98.000,2017,Diésel,Leganes,5,Sí,Manual ,Gris,Berlina,Renault,Talisman,Talisman Sport Tourer Intens Energy dCi 96 kW (130 CV),131 CV,Turismo familiar,200 km/h,10.8 s,4 l/100km,106g CO2/km,4865 mm / 1868 mm / 1465 mm,C,14.390€
133.027,2019,Diésel,Leganes,5,Sí,Manual ,Azul,Familiar,Peugeot,308,308 SW Allure 1.5 BlueHDi 130 S&S,130 CV,Turismo familiar,203 km/h,10 s,3.8 l/100km,100g CO2/km,4585 mm / 1804 mm / 1470 mm,C,12.690€
121.687,2017,Diésel,Alcorcon,5,Sí,Manual ,Blanco,Berlina,Renault,Megane,Mégane Berlina Zen Energy dCi 81 kW (110 CV),110 CV,Turismo,187 km/h,11.3 s,3.7 l/100km,95g CO2/km,4359 mm / 1814 mm / 1447 mm,C,12.590€
136.606,2018,Diésel,Leganes,5,Sí,Manual ,Blanco,Furgoneta,Fiat,Fiorino,QUBO Dynamic 1.3 Multijet 75cv,82 CV,Vehículo comercial,155 km/h,15.2 s,4.3 l/100km,113g CO2/km,3959 mm / 1716 mm / 1735 mm,B,7.590€
45.493,2019,Híbrido (Gasolina),Pamplona,3,Sí,Manual ,Gris,Utilitario,False,False,False,69 CV,False,False,False,False,False,False,False,12.590€
89.453,2020,Diésel,Zaragoza,5,Sí,Manual ,Negro,Monovolumen,Citroen,C4 SpaceTourer,C4 SpaceTourer BlueHDi 120 S&S Live,131 CV,Monovolumen,189 km/h,11.3 s,3.8 l/100km,100g CO2/km,4438 mm / 1826 mm / 1610 mm,C,18.950€
111.273,2020,Diésel,Fontellas,5,Sí,Automático ,Negro,Todoterreno,Volkswagen,Tiguan,Tiguan Country 2.0 TDI 150 CV BMT 4Motion DSG 7 vel.,150 CV,Todoterreno,191 km/h,9.8 s,5.7 l/100km,150g CO2/km,4433 mm / 1809 mm / 1703 mm,C,22.490€
54.764,2016,Diésel,Sevilla,5,Sí,Automático ,Gris,Todoterreno,Nissan,X-Trail,X-Trail dCi 96 kW (130 CV) Xtronic 4x2 Tekna,131 CV,Todoterreno,180 km/h,11.4 s,5.3 l/100km,139g CO2/km,4640 mm / 1820 mm / 1710 mm,C,18.990€
